libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
licenses 20140629-1
lightdm 1:1.18.3-1
lightdm-gtk-greeter 1:2.0.2-1
linux 4.8.13-1
linux-api-headers 4.7-1
linux-firmware 20161005.9c71af9-1
linux-headers 4.8.13-1
llvm-libs 3.9.1-2
logrotate 3.11.0-1
lvm2 2.02.168-1
lz4 1:1.7.4.2-1
lzo 2.09-1
m17n-db 1.7.0-1
m17n-lib 1.7.0-1
make 4.2.1-1
man-db 2.7.6.1-2
man-pages 4.09-1
mdadm 3.4-1
mesa 13.0.3-1
mesa-libgl 13.0.3-1
minizip 1:1.2.8-7
mkinitcpio 22-1
mkinitcpio-busybox 1.25.1-1
mpfr 3.1.5.p2-1
mtdev 1.1.5-1
nano 2.7.3-1
ncurses 6.0+20161224-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
nodejs 7.4.0-1
npm 4.0.5-1
npth 1.3-1
nspr 4.13.1-1
nss 3.27.2-1
ocl-icd 2.2.10-1
opencore-amr 0.1.3-2
openjpeg2 2.1.2-2
openresolv 3.8.1-1
openssl 1.0.2.j-1
opus 1.1.3-2
orc 0.4.26-1
p11-kit 0.23.2-1
pacman 5.0.1-4
pacman-mirrorlist 20170106-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.3-1
pciutils 3.5.2-1
pcmciautils 018-7
pcre 8.39-2
pcsclite 1.8.20-1
perl 5.24.0-2
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-ipc-system-simple 1.25-1
pinentry 1.0.0-1
pixman 0.34.0-1
polkit 0.113-4
popt 1.16-8
procps-ng 3.3.12-1
psmisc 22.21-3
python 3.6.0-1
python-botocore 1.4.93-2
python-colorama 0.3.7-2
python-dateutil 2.6.0-2
python-docutils 0.13.1-2
python-jmespath 0.9.0-2
python-pyasn1 0.1.9-2
python-rsa 3.4.2-2
python-s3transfer 0.1.10-2
python-six 1.10.0-3
python-yaml 3.12-2
python2 2.7.13-1
randrproto 1.5.0-1
rdesktop 1.8.3-2
re2 20160901-1
readline 7.0.001-1
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rxvt-unicode 9.22-2
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.14-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sdl2 2.0.5-2
sed 4.2.2-4
semver 5.3.0-1
shadow 4.4-3
shared-mime-info 1.7-1
snappy 1.1.3-2
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.16.2-1
stack 1.3.2-9
startup-notification 0.12-4
sudo 1.8.19.p1-1
sysfsutils 2.1.0-9
systemd 232-7
systemd-sysvcompat 232-7
tar 1.29-2
terminus-font 4.40-2
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
ttf-dejavu 2.37-1
ttf-droid 20121017-4
ttf-freefont 20120503-4
ttf-inconsolata 20151221.480630d-1
tzdata 2016j-1
usbutils 008-1
util-linux 2.29-2
v4l-utils 1.10.1-1
vi 1:070224-2
vid.stab 1.1-1
vim 8.0.0170-1
vim-runtime 8.0.0170-1
wayland 1.12.0-1
wayland-protocols 1.7-1
weechat 1.6-3
wget 1.18-3
which 2.21-2
wireless_tools 30.pre9-1
x265 2.2-1
xbitmaps 1.1.1-3
xcb-proto 1.12-3
xcb-util 0.4.0-1
xdg-utils 1.1.1-4
xextproto 7.3.0-1
xf86-input-evdev 2.10.4-1
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfsprogs 4.8.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.19-1
xmobar 0.24.3-4
xmonad 0.12-11
xmonad-contrib 0.12-9
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
